"","5000","10000","15000","20000","25000","30000"
"2001_rbf","0.0089(0.0016)","0.0084(0.0015)","0.0073(0.0012)","0.007(6e-04)","0.0071(5e-04)","0.0065(7e-04)"
"2001_lkflag","0.0025(0.001)","0.0051(8e-04)","0.0057(5e-04)","0.0061(6e-04)","0.0066(4e-04)","0.0065(6e-04)"
"2002_rbf","0.0066(0.0015)","0.0062(7e-04)","0.0063(0.0011)","0.0058(7e-04)","0.0061(7e-04)","0.0062(5e-04)"
"2002_lkflag","0.0017(7e-04)","0.0037(7e-04)","0.0045(9e-04)","0.0045(4e-04)","0.0049(6e-04)","0.0051(4e-04)"
"2101_rbf","0.0182(0.003)","0.021(0.0031)","0.0203(0.0011)","0.0204(0.0014)","0.0196(0.0018)","0.0196(0.0013)"
"2101_lkflag","0.0044(0.0013)","0.0093(0.0013)","0.011(0.001)","0.0126(9e-04)","0.0131(0.001)","0.0128(7e-04)"
"2102_rbf","0.0169(0.0027)","0.0176(0.0026)","0.0195(0.0022)","0.0177(0.0022)","0.0171(0.0015)","0.0167(0.0012)"
"2102_lkflag","0.0037(7e-04)","0.0076(0.0013)","0.0102(0.0012)","0.0106(0.0013)","0.0106(7e-04)","0.0108(7e-04)"
"2111_rbf","0.0441(0.0129)","0.0385(0.0075)","0.0397(0.0075)","0.0377(0.0088)","0.037(0.007)","0.0356(0.0056)"
"2111_lkflag","0.0235(0.0103)","0.0358(0.0099)","0.0446(0.0105)","0.0527(0.0096)","0.0497(0.0051)","0.0521(0.008)"
"2112_rbf","0.0309(0.0059)","0.0306(0.0059)","0.0272(0.006)","0.025(0.006)","0.0264(0.0047)","0.0259(0.0029)"
"2112_lkflag","0.0101(0.0052)","0.0195(0.0054)","0.0256(0.0049)","0.0296(0.0055)","0.0301(0.005)","0.0306(0.0035)"
"2201_rbf","0.023(0.0045)","0.0211(0.0018)","0.019(0.0016)","0.0199(0.0012)","0.0187(0.0011)","0.0177(0.0015)"
"2201_lkflag","0.0059(0.0014)","0.0104(0.0013)","0.0116(9e-04)","0.0126(8e-04)","0.0124(0.001)","0.0135(7e-04)"
"2202_rbf","0.0211(0.0032)","0.018(0.0018)","0.0172(0.0016)","0.0175(0.002)","0.0172(0.0011)","0.0164(0.0013)"
"2202_lkflag","0.005(9e-04)","0.0083(4e-04)","0.01(6e-04)","0.011(8e-04)","0.0111(6e-04)","0.0114(5e-04)"
"2211_rbf","0.0178(0.0045)","0.0178(0.0039)","0.0153(0.0033)","0.0156(0.0024)","0.0146(0.0023)","0.0162(0.0034)"
"2211_lkflag","0.0085(0.0065)","0.0211(0.0071)","0.017(0.0034)","0.0223(0.0044)","0.0237(0.0041)","0.0238(0.0039)"
"2212_rbf","0.0161(0.0052)","0.0151(0.0056)","0.0163(0.0037)","0.0127(0.0029)","0.0126(0.0025)","0.0112(0.0017)"
"2212_lkflag","0.009(0.0032)","0.0153(0.0036)","0.0194(0.0048)","0.019(0.0026)","0.0215(0.0023)","0.0217(0.002)"
"2301_rbf","0.0169(0.0055)","0.0125(0.0028)","0.0112(0.0032)","0.0095(0.0018)","0.0094(0.0015)","0.0086(0.0016)"
"2301_lkflag","0.0061(0.0034)","0.0129(0.0034)","0.0165(0.0037)","0.0186(0.0029)","0.0176(0.0029)","0.0187(0.0018)"
"2302_rbf","0.0218(0.0039)","0.023(0.005)","0.0203(0.0031)","0.0188(0.005)","0.0175(0.0026)","0.0174(0.0024)"
"2302_lkflag","0.0074(0.0013)","0.0163(0.0028)","0.0199(0.0017)","0.0211(0.0028)","0.0224(0.0025)","0.0219(0.0028)"
"2311_rbf","0.0199(0.0057)","0.0164(0.0036)","0.0166(0.003)","0.0166(0.0024)","0.0141(0.0015)","0.0144(0.0015)"
"2311_lkflag","0.0059(0.0011)","0.0112(0.0021)","0.0137(0.0019)","0.0149(0.0019)","0.0147(0.0017)","0.0159(0.0013)"
"2312_rbf","0.0128(0.0039)","0.0126(0.0026)","0.0104(0.0019)","0.0085(0.0012)","0.0091(0.001)","0.0089(0.0018)"
"2312_lkflag","0.0055(0.0019)","0.0107(0.0018)","0.0118(0.0017)","0.0131(0.0016)","0.0131(9e-04)","0.0139(0.0012)"
"2321_rbf","0.0224(0.0056)","0.0215(0.0025)","0.0228(0.0038)","0.02(0.0032)","0.0191(0.0037)","0.0178(0.0023)"
"2321_lkflag","0.0092(0.0018)","0.0183(0.0042)","0.0235(0.0034)","0.0239(0.0037)","0.0252(0.0027)","0.025(0.0027)"
"2322_rbf","0.0144(0.0038)","0.015(0.0036)","0.0156(0.0039)","0.0139(0.0024)","0.0134(0.0021)","0.0118(0.0027)"
"2322_lkflag","0.0051(0.0014)","0.0125(0.0026)","0.0168(0.0033)","0.0161(0.0025)","0.0187(0.002)","0.0174(0.0012)"
"2331_rbf","0.0102(0.0049)","0.0098(0.0033)","0.0106(0.0022)","0.0095(0.0018)","0.0087(0.0017)","0.009(0.0015)"
"2331_lkflag","0.0051(0.0025)","0.0094(0.0022)","0.0106(0.0024)","0.0119(0.0016)","0.0124(0.0017)","0.0129(0.0021)"
"2332_rbf","0.0122(0.0035)","0.0076(0.0026)","0.0067(0.0018)","0.0062(0.001)","0.006(9e-04)","0.0057(8e-04)"
"2332_lkflag","0.0039(0.0022)","0.0065(0.0025)","0.0067(0.0017)","0.0085(0.0013)","0.0081(0.0011)","0.0082(8e-04)"
"2401_rbf","0.0257(0.0044)","0.0206(0.0039)","0.0175(0.0031)","0.0155(0.0015)","0.0166(0.0012)","0.0169(0.0021)"
"2401_lkflag","0.0097(0.0022)","0.0142(0.0025)","0.0153(0.0035)","0.0169(0.0015)","0.0187(0.0028)","0.0182(0.0027)"
"2402_rbf","0.0187(0.0071)","0.0173(0.0029)","0.0166(0.0033)","0.0157(0.0014)","0.0153(0.0015)","0.0154(0.0013)"
"2402_lkflag","0.0073(0.0037)","0.0104(0.0018)","0.013(0.003)","0.0133(0.0019)","0.0134(0.0017)","0.0146(0.0015)"
"2501_rbf","0.0193(0.0127)","0.0176(0.0083)","0.0181(0.0072)","0.0163(0.0028)","0.0149(0.0033)","0.0133(0.0043)"
"2501_lkflag","0.015(0.0117)","0.0272(0.0115)","0.042(0.0069)","0.0398(0.0087)","0.0463(0.0065)","0.039(0.0075)"
"2502_rbf","0.034(0.0157)","0.0286(0.0129)","0.0212(0.0069)","0.0235(0.0081)","0.0196(0.0042)","0.0188(0.0051)"
"2502_lkflag","0.0248(0.0185)","0.0389(0.0155)","0.0388(0.0073)","0.0407(0.0127)","0.0377(0.0081)","0.0398(0.0092)"
"2601_rbf","0.0415(0.0104)","0.0464(0.0048)","0.0417(0.0036)","0.0417(0.0046)","0.0408(0.0035)","0.04(0.0034)"
