"","500","1000","2000","5000","10000","20000"
"2001_rbf","0.0085(0.0072)","0.0174(0.0066)","0.0135(0.003)","0.0152(0.0026)","0.0156(0.0018)","0.0152(0.001)"
"2001_lkflag","0.0083(0.0063)","0.0148(0.0054)","0.0123(0.0041)","0.0149(0.003)","0.0152(0.0021)","0.0146(6e-04)"
"2002_rbf","0.008(0.0061)","0.0145(0.0075)","0.0143(0.0039)","0.0145(0.002)","0.0131(0.0018)","0.0128(0.0011)"
"2002_lkflag","0.0082(0.0035)","0.0123(0.0051)","0.0131(0.0034)","0.0144(0.002)","0.0132(0.0016)","0.0129(0.0011)"
"2101_rbf","0.0203(0.0147)","0.0266(0.0183)","0.028(0.0075)","0.0278(0.0056)","0.0258(0.0018)","0.0277(0.0024)"
"2101_lkflag","0.0124(0.0053)","0.0221(0.0088)","0.0248(0.0052)","0.027(0.0055)","0.0238(0.0017)","0.0264(0.0016)"
"2102_rbf","0.0393(0.0237)","0.0319(0.0142)","0.0311(0.0085)","0.036(0.0073)","0.0311(0.0019)","0.0327(0.0017)"
"2102_lkflag","0.0157(0.008)","0.0257(0.0123)","0.0283(0.0078)","0.032(0.0071)","0.029(0.0026)","0.0322(0.0016)"
"2111_rbf","0.0171(0.0127)","0.0197(0.0155)","0.0254(0.0124)","0.0297(0.0121)","0.0264(0.0063)","0.0248(0.0028)"
"2111_lkflag","0.0103(0.0089)","0.015(0.0116)","0.0226(0.0188)","0.0326(0.0124)","0.0284(0.005)","0.0272(0.0023)"
"2112_rbf","0.0274(0.0437)","0.0647(0.0505)","0.0512(0.0246)","0.0392(0.0086)","0.0513(0.0144)","0.0421(0.0052)"
"2112_lkflag","0.0139(0.0157)","0.0462(0.0294)","0.0409(0.023)","0.0393(0.0096)","0.0531(0.0151)","0.0444(0.0064)"
"2201_rbf","0.0298(0.0088)","0.0351(0.0154)","0.0317(0.0071)","0.0333(0.0041)","0.0337(0.0037)","0.0324(0.0018)"
"2201_lkflag","0.0167(0.0088)","0.0285(0.009)","0.0275(0.0058)","0.0319(0.0039)","0.0325(0.004)","0.0315(0.0019)"
"2202_rbf","0.0195(0.0093)","0.0195(0.0058)","0.0223(0.0048)","0.0227(0.0033)","0.0219(0.002)","0.0219(0.0023)"
"2202_lkflag","0.01(0.0034)","0.0169(0.0052)","0.0202(0.0057)","0.0211(0.0035)","0.0199(0.0019)","0.0212(0.0024)"
"2211_rbf","0.0247(0.0212)","0.0367(0.0299)","0.026(0.016)","0.0253(0.0058)","0.0291(0.0057)","0.0266(0.0041)"
"2211_lkflag","0.0137(0.0179)","0.0253(0.0242)","0.0152(0.0099)","0.018(0.006)","0.0222(0.0052)","0.0215(0.0049)"
"2212_rbf","0.003(0.0057)","0.015(0.0141)","0.0178(0.0128)","0.0223(0.0062)","0.0221(0.0059)","0.0188(0.0036)"
"2212_lkflag","8e-04(0.0014)","0.0079(0.0096)","0.0166(0.0121)","0.0199(0.0098)","0.0202(0.0052)","0.0181(0.0038)"
"2301_rbf","0.0146(0.0164)","0.0276(0.0143)","0.0399(0.0253)","0.0268(0.0074)","0.0305(0.0073)","0.0292(0.0057)"
"2301_lkflag","0.0093(0.0088)","0.0206(0.0098)","0.0344(0.0223)","0.0271(0.0083)","0.0298(0.0082)","0.0305(0.0053)"
"2302_rbf","0.0367(0.0445)","0.0198(0.0118)","0.0302(0.0099)","0.0324(0.0083)","0.0321(0.0042)","0.035(0.0055)"
"2302_lkflag","0.0266(0.0189)","0.0177(0.0111)","0.0257(0.0084)","0.0308(0.0055)","0.0306(0.0048)","0.0308(0.0056)"
"2311_rbf","0.0564(0.0291)","0.0519(0.0147)","0.0355(0.0099)","0.0438(0.0066)","0.0449(0.0066)","0.0408(0.0054)"
"2311_lkflag","0.0268(0.015)","0.0455(0.0143)","0.0312(0.0101)","0.0401(0.0066)","0.0419(0.0065)","0.0404(0.005)"
"2312_rbf","0.0255(0.0167)","0.0236(0.0109)","0.0294(0.0186)","0.0312(0.0089)","0.0294(0.0058)","0.0313(0.0034)"
"2312_lkflag","0.0219(0.0151)","0.0179(0.0077)","0.026(0.0126)","0.0292(0.0088)","0.0276(0.0049)","0.0292(0.0028)"
"2321_rbf","0.0218(0.0165)","0.0353(0.0349)","0.0276(0.0144)","0.0327(0.0057)","0.0282(0.0061)","0.0291(0.0031)"
"2321_lkflag","0.0214(0.0241)","0.0283(0.0272)","0.0247(0.009)","0.0326(0.0079)","0.0285(0.0052)","0.0307(0.0043)"
"2322_rbf","0.0277(0.019)","0.0362(0.0318)","0.0416(0.0163)","0.0394(0.0092)","0.0366(0.0048)","0.0378(0.0031)"
"2322_lkflag","0.0169(0.0126)","0.0315(0.0255)","0.0332(0.0126)","0.0343(0.0077)","0.0332(0.0036)","0.0357(0.0034)"
