"","5000","10000","15000","20000","25000","30000"
"2001_rbf","0.0056(0.0012)","0.0048(6e-04)","0.0051(7e-04)","0.0047(5e-04)","0.0046(3e-04)","0.0046(5e-04)"
"2001_lkflag","0.0015(4e-04)","0.0025(3e-04)","0.0033(2e-04)","0.0032(3e-04)","0.0034(2e-04)","0.0035(3e-04)"
"2002_rbf","0.0042(0.0013)","0.0036(8e-04)","0.0039(5e-04)","0.0034(3e-04)","0.0034(4e-04)","0.0035(3e-04)"
"2002_lkflag","0.0016(4e-04)","0.0023(4e-04)","0.0029(3e-04)","0.0028(2e-04)","0.003(2e-04)","0.0031(3e-04)"
"2101_rbf","0.0175(0.0024)","0.018(0.0029)","0.017(0.0022)","0.0169(0.0016)","0.0173(0.0016)","0.0166(0.0013)"
"2101_lkflag","0.0042(0.0011)","0.0082(0.0011)","0.0091(0.0011)","0.0102(0.001)","0.0102(9e-04)","0.0104(0.001)"
"2102_rbf","0.0161(0.003)","0.0154(0.002)","0.0156(0.0016)","0.0156(0.0013)","0.0151(0.0015)","0.0157(8e-04)"
"2102_lkflag","0.0028(0.0012)","0.0063(0.0013)","0.0079(0.0014)","0.0081(8e-04)","0.0079(8e-04)","0.009(0.0013)"
"2111_rbf","0.0194(0.0086)","0.0218(0.0062)","0.0177(0.0032)","0.0158(0.0026)","0.017(0.0037)","0.0163(0.0025)"
"2111_lkflag","0.0082(0.0047)","0.0189(0.0059)","0.0214(0.0036)","0.0246(0.0025)","0.0234(0.0021)","0.0255(0.0039)"
"2112_rbf","0.0256(0.0097)","0.022(0.0047)","0.0171(0.0057)","0.018(0.003)","0.0163(0.0024)","0.0166(0.0021)"
"2112_lkflag","0.0101(0.0049)","0.0202(0.0045)","0.0206(0.0043)","0.0226(0.0044)","0.0224(0.0024)","0.021(0.0032)"
"2201_rbf","0.0175(0.0023)","0.0184(0.0012)","0.0179(0.0018)","0.0171(0.0014)","0.0168(0.001)","0.0166(0.0011)"
"2201_lkflag","0.0038(5e-04)","0.0071(9e-04)","0.0089(8e-04)","0.0087(9e-04)","0.0095(6e-04)","0.01(6e-04)"
"2202_rbf","0.0223(0.0025)","0.0218(0.0022)","0.02(0.0017)","0.0198(0.0018)","0.0192(0.001)","0.0189(0.0017)"
"2202_lkflag","0.0036(0.0011)","0.0088(0.0014)","0.009(8e-04)","0.0094(0.0011)","0.0105(0.0011)","0.0105(0.0014)"
"2211_rbf","0.0294(0.0098)","0.0249(0.005)","0.0181(0.0032)","0.0179(0.002)","0.0167(0.003)","0.0155(0.0033)"
"2211_lkflag","0.0133(0.0064)","0.0231(0.0052)","0.0249(0.006)","0.0264(0.0054)","0.0255(0.0028)","0.0272(0.0036)"
"2212_rbf","0.0201(0.0076)","0.0148(0.0028)","0.0151(0.0027)","0.0143(0.0017)","0.0134(0.0017)","0.0137(0.0021)"
"2212_lkflag","0.007(0.0025)","0.015(0.0047)","0.0207(0.004)","0.0207(0.0027)","0.0222(0.0033)","0.0219(0.0026)"
"2301_rbf","0.0129(0.0073)","0.0082(0.003)","0.0084(0.0017)","0.0067(0.002)","0.0061(0.0013)","0.0052(0.0011)"
"2301_lkflag","0.0051(0.0026)","0.0084(0.0025)","0.0097(0.0024)","0.0106(0.0012)","0.0105(0.0015)","0.0109(0.001)"
"2302_rbf","0.0086(0.0024)","0.0078(0.0014)","0.0087(0.0014)","0.0084(0.0015)","0.007(0.0012)","0.0061(7e-04)"
"2302_lkflag","0.0024(7e-04)","0.0045(0.001)","0.0054(8e-04)","0.0061(9e-04)","0.0062(6e-04)","0.0061(7e-04)"
"2311_rbf","0.0119(0.0025)","0.01(0.0015)","0.0109(0.001)","0.01(0.0015)","0.0092(0.0018)","0.0086(0.0011)"
"2311_lkflag","0.003(0.0011)","0.0059(0.0012)","0.0073(0.0012)","0.0079(0.001)","0.0077(9e-04)","0.0082(0.001)"
"2312_rbf","0.0085(0.0016)","0.0066(0.0012)","0.007(0.0012)","0.0067(0.0012)","0.0059(6e-04)","0.0056(5e-04)"
"2312_lkflag","0.0032(9e-04)","0.0052(0.001)","0.0063(0.001)","0.0069(4e-04)","0.0068(7e-04)","0.0075(8e-04)"
"2321_rbf","0.0205(0.0074)","0.0166(0.0029)","0.0132(0.004)","0.0138(0.0018)","0.0124(0.0016)","0.0115(0.0023)"
"2321_lkflag","0.0063(0.0025)","0.0124(0.0027)","0.0145(0.0024)","0.0164(0.0018)","0.0161(0.0025)","0.0152(0.002)"
"2322_rbf","0.0154(0.0032)","0.0118(0.003)","0.0114(0.001)","0.0103(0.0021)","0.0096(0.0013)","0.0097(0.0014)"
"2322_lkflag","0.0042(0.0023)","0.0081(0.0019)","0.0094(0.0018)","0.0101(0.0019)","0.0106(0.0014)","0.0109(7e-04)"
"2331_rbf","0.0061(0.0017)","0.0055(9e-04)","0.0049(0.0013)","0.0054(0.0013)","0.0047(7e-04)","0.0049(0.0013)"
"2331_lkflag","0.003(7e-04)","0.0065(0.0016)","0.0068(8e-04)","0.008(0.0014)","0.0081(0.0011)","0.0082(7e-04)"
"2332_rbf","0.005(9e-04)","0.0052(0.001)","0.0044(9e-04)","0.0048(5e-04)","0.0044(6e-04)","0.0041(5e-04)"
"2332_lkflag","0.0017(5e-04)","0.0038(9e-04)","0.0039(7e-04)","0.0047(9e-04)","0.0048(5e-04)","0.0046(6e-04)"
"2401_rbf","0.0116(0.0019)","0.0097(0.0021)","0.0086(0.0015)","0.0079(0.0012)","0.0076(9e-04)","0.0073(7e-04)"
"2401_lkflag","0.0035(0.0012)","0.0054(7e-04)","0.0068(0.0014)","0.0069(7e-04)","0.0073(8e-04)","0.0075(9e-04)"
"2402_rbf","0.0079(0.0016)","0.007(0.0013)","0.0068(0.001)","0.0068(0.0011)","0.0067(7e-04)","0.0062(7e-04)"
"2402_lkflag","0.0026(8e-04)","0.0039(0.0013)","0.005(8e-04)","0.0056(8e-04)","0.0058(4e-04)","0.0057(6e-04)"
"2501_rbf","0.0144(0.0061)","0.0223(0.0083)","0.016(0.0055)","0.0159(0.0039)","0.0122(0.0028)","0.011(0.0018)"
"2501_lkflag","0.0112(0.0094)","0.0327(0.0124)","0.0297(0.0111)","0.0429(0.0106)","0.0395(0.0082)","0.0424(0.0104)"
"2502_rbf","0.009(0.0041)","0.0078(0.0027)","0.0087(0.0027)","0.0085(0.0022)","0.0081(0.0014)","0.007(0.0018)"
"2502_lkflag","0.0105(0.0067)","0.0106(0.0025)","0.0196(0.0044)","0.0204(0.0041)","0.0201(0.0019)","0.0195(0.0026)"
"2601_rbf","0.0174(0.0055)","0.0173(0.0026)","0.0156(0.0013)","0.0149(0.0012)","0.0149(0.0013)","0.0143(8e-04)"
"2601_lkflag","0.0047(0.0016)","0.0089(0.0019)","0.0096(9e-04)","0.0103(8e-04)","0.0113(0.0011)","0.0112(6e-04)"
"2602_rbf","0.0153(0.0026)","0.0163(0.0023)","0.0152(0.0024)","0.0156(0.0023)","0.015(0.0015)","0.0148(0.0017)"
"2602_lkflag","0.004(0.0011)","0.0089(0.0013)","0.0091(0.0012)","0.0106(0.0012)","0.0104(0.0013)","0.0105(0.0013)"
"2611_rbf","0.0124(0.004)","0.0099(0.0028)","0.0083(0.0015)","0.0102(0.0027)","0.0089(0.0022)","0.0092(0.0019)"
"2611_lkflag","0.0061(0.0031)","0.0115(0.0044)","0.0108(0.0027)","0.0158(0.0042)","0.0159(0.0022)","0.016(0.0028)"
"2612_rbf","0.0163(0.0041)","0.0165(0.0039)","0.0154(0.0036)","0.0135(0.0028)","0.0145(0.002)","0.0139(0.0023)"
"2612_lkflag","0.0076(0.0029)","0.0146(0.003)","0.0195(0.0043)","0.0196(0.0019)","0.0219(0.0026)","0.0209(0.0036)"
"2701_rbf","0.0139(0.0058)","0.0132(0.0026)","0.0104(0.0023)","0.0117(0.0032)","0.012(0.0028)","0.011(0.0021)"
"2701_lkflag","0.0056(0.0035)","0.0152(0.0044)","0.0147(0.0042)","0.0168(0.0035)","0.0183(0.0043)","0.0195(0.0033)"
"2702_rbf","0.0157(0.0076)","0.0167(0.0044)","0.0156(0.0025)","0.0132(0.0021)","0.0139(0.0018)","0.0123(0.001)"
"2702_lkflag","0.0059(0.0022)","0.0179(0.0063)","0.0203(0.0034)","0.018(0.0021)","0.02(0.0033)","0.02(0.0036)"
"3001_rbf","0.018(0.0046)","0.0163(0.0044)","0.0153(0.0019)","0.0155(0.0021)","0.0143(0.0015)","0.015(0.002)"
"3001_lkflag","0.0056(0.0019)","0.0097(0.0023)","0.011(0.0018)","0.0106(0.0014)","0.0117(0.0012)","0.0125(0.0016)"
"3002_rbf","0.0151(0.0026)","0.0148(0.0031)","0.0147(0.0024)","0.0126(0.0013)","0.0127(0.0017)","0.0118(0.0016)"
"3002_lkflag","0.0052(0.0014)","0.0108(0.0017)","0.0118(0.0015)","0.0124(9e-04)","0.0134(0.0016)","0.013(0.0014)"
"4001_rbf","0.0135(0.0037)","0.0156(0.0036)","0.0152(0.0031)","0.0147(0.002)","0.0147(0.0024)","0.0135(0.0027)"
"4001_lkflag","0.0059(0.002)","0.0123(0.002)","0.0142(0.0029)","0.0144(0.002)","0.016(0.0018)","0.014(0.0021)"
"4002_rbf","0.0102(0.0023)","0.0099(0.001)","0.0096(0.0017)","0.0086(0.0014)","0.009(0.0015)","0.008(8e-04)"
"4002_lkflag","0.0029(0.0012)","0.0069(0.002)","0.0086(0.0018)","0.0082(8e-04)","0.0088(9e-04)","0.0088(6e-04)"
"4011_rbf","0.013(0.0042)","0.012(0.0026)","0.0119(0.0023)","0.0123(9e-04)","0.0104(0.0012)","0.0109(0.001)"
"4011_lkflag","0.0045(0.0016)","0.0078(0.0013)","0.009(7e-04)","0.0099(9e-04)","0.0096(0.0011)","0.0099(8e-04)"
"4012_rbf","0.011(0.0024)","0.0109(0.0015)","0.0106(0.0017)","0.0112(0.0013)","0.0106(8e-04)","0.0108(7e-04)"
"4012_lkflag","0.0029(0.001)","0.0054(0.001)","0.0064(7e-04)","0.0065(9e-04)","0.0073(9e-04)","0.0072(4e-04)"
"4021_rbf","0.0129(0.0055)","0.0116(0.0032)","0.0073(0.0019)","0.0084(0.0027)","0.0076(0.0015)","0.0068(0.0014)"
