"","500","1000","2000","5000","10000","20000"
"2001_rbf","0.0332(0.0168)","0.04(0.0132)","0.0382(0.0072)","0.0383(0.0081)","0.0381(0.0034)","0.0376(0.0029)"
"2001_lkflag","0.0172(0.0078)","0.028(0.0128)","0.0297(0.0066)","0.0304(0.0084)","0.0313(0.0034)","0.031(0.0026)"
"2002_rbf","0.0228(0.0087)","0.0197(0.014)","0.0227(0.0079)","0.0194(0.0035)","0.0196(0.0024)","0.0211(0.0012)"
"2002_lkflag","0.0098(0.0073)","0.0149(0.0099)","0.0219(0.0119)","0.0184(0.0027)","0.0206(0.0032)","0.0223(0.0018)"
"2101_rbf","0.026(0.01)","0.0255(0.0062)","0.0361(0.0114)","0.0362(0.0047)","0.038(0.0042)","0.0356(0.0032)"
"2101_lkflag","0.0186(0.0095)","0.0142(0.0067)","0.0227(0.0035)","0.0269(0.0044)","0.0258(0.0029)","0.0274(0.0026)"
"2102_rbf","0.0356(0.0248)","0.0386(0.0178)","0.04(0.0076)","0.0335(0.0047)","0.0341(0.0046)","0.0325(0.0026)"
"2102_lkflag","0.0158(0.0141)","0.0231(0.0093)","0.0254(0.0073)","0.0246(0.0057)","0.0278(0.0047)","0.0278(0.0022)"
"2111_rbf","0.0236(0.0216)","0.0639(0.0473)","0.0474(0.036)","0.0518(0.019)","0.0516(0.0088)","0.0494(0.0073)"
"2111_lkflag","0.0208(0.0159)","0.0449(0.0282)","0.0308(0.0221)","0.0398(0.0195)","0.0415(0.0084)","0.0418(0.0069)"
"2112_rbf","0.032(0.0307)","0.0303(0.0178)","0.0437(0.0197)","0.03(0.0116)","0.0393(0.0098)","0.0396(0.0042)"
"2112_lkflag","0.0218(0.0226)","0.0204(0.0101)","0.034(0.0184)","0.0245(0.0109)","0.0331(0.0094)","0.0344(0.0046)"
"2201_rbf","0.0649(0.0337)","0.0515(0.0147)","0.0563(0.0189)","0.0463(0.0066)","0.0447(0.0047)","0.0434(0.0033)"
"2201_lkflag","0.0244(0.0121)","0.0303(0.0076)","0.0344(0.0083)","0.0309(0.0067)","0.0329(0.0032)","0.0335(0.0032)"
"2202_rbf","0.0671(0.0324)","0.0536(0.0165)","0.0502(0.0103)","0.0499(0.006)","0.0452(0.0036)","0.044(0.0037)"
"2202_lkflag","0.0189(0.0088)","0.024(0.0084)","0.0265(0.0059)","0.0313(0.005)","0.0304(0.0033)","0.0334(0.0035)"
"2211_rbf","0.0213(0.025)","0.0433(0.0354)","0.0387(0.0218)","0.0373(0.0179)","0.0394(0.0158)","0.0356(0.0041)"
"2211_lkflag","0.0102(0.0085)","0.0281(0.0198)","0.0343(0.0167)","0.0351(0.0165)","0.0376(0.0143)","0.0346(0.0033)"
"2212_rbf","0.0313(0.0418)","0.0338(0.0242)","0.0275(0.0362)","0.0391(0.0191)","0.0309(0.0098)","0.0284(0.008)"
"2212_lkflag","0.0129(0.0122)","0.0283(0.0224)","0.0254(0.0305)","0.0351(0.016)","0.0286(0.0098)","0.028(0.0076)"
"2301_rbf","0.0456(0.0421)","0.027(0.0182)","0.0503(0.0173)","0.0528(0.0165)","0.0515(0.0092)","0.0516(0.0038)"
"2301_lkflag","0.0301(0.0366)","0.0251(0.0192)","0.0465(0.0195)","0.0504(0.019)","0.0492(0.01)","0.0479(0.0056)"
"2302_rbf","0.0304(0.0284)","0.0455(0.0206)","0.046(0.0109)","0.0455(0.0065)","0.0433(0.0077)","0.0474(0.005)"
"2302_lkflag","0.0142(0.0128)","0.0396(0.024)","0.0347(0.0164)","0.0426(0.0082)","0.0423(0.0096)","0.0439(0.0054)"
"2311_rbf","0.0361(0.0278)","0.0308(0.0162)","0.0389(0.0095)","0.0324(0.0092)","0.0342(0.0041)","0.0324(0.0014)"
"2311_lkflag","0.0314(0.021)","0.0358(0.016)","0.0357(0.0065)","0.0308(0.0077)","0.0337(0.0044)","0.0341(0.0035)"
"2312_rbf","0.0527(0.0445)","0.0559(0.0245)","0.0465(0.0159)","0.0496(0.0092)","0.0452(0.0069)","0.0438(0.0052)"
"2312_lkflag","0.0222(0.0325)","0.0326(0.0161)","0.0421(0.0148)","0.0395(0.0086)","0.0369(0.007)","0.0383(0.0039)"
"2321_rbf","0.0402(0.0394)","0.0531(0.028)","0.0457(0.022)","0.0421(0.0144)","0.0445(0.0091)","0.041(0.0061)"
"2321_lkflag","0.0202(0.0137)","0.0362(0.0154)","0.0356(0.0195)","0.0346(0.0137)","0.0374(0.0062)","0.0358(0.004)"
"2322_rbf","0.0304(0.0195)","0.0333(0.0296)","0.0392(0.0223)","0.0297(0.0075)","0.0394(0.0075)","0.0369(0.0035)"
"2322_lkflag","0.0226(0.0238)","0.0252(0.0128)","0.0411(0.0198)","0.0332(0.009)","0.0445(0.0099)","0.0412(0.0033)"
"2331_rbf","0.0186(0.0186)","0.0539(0.0292)","0.0449(0.0166)","0.0415(0.0161)","0.0397(0.0071)","0.0331(0.0046)"
"2331_lkflag","0.0189(0.0201)","0.029(0.0222)","0.0373(0.0159)","0.0384(0.0128)","0.0363(0.0052)","0.0311(0.0042)"
"2332_rbf","0.0218(0.0219)","0.0229(0.0137)","0.039(0.0178)","0.0354(0.0132)","0.0347(0.0074)","0.0321(0.0058)"
"2332_lkflag","0.0122(0.0117)","0.0173(0.0121)","0.031(0.0153)","0.0256(0.009)","0.0262(0.004)","0.0258(0.0047)"
"2401_rbf","0.1368(0.1992)","0.0689(0.0276)","0.094(0.0462)","0.0973(0.0224)","0.0955(0.0227)","0.0794(0.0122)"
"2401_lkflag","0.0428(0.044)","0.0471(0.0214)","0.0556(0.0308)","0.0674(0.0145)","0.0686(0.0162)","0.0624(0.0089)"
"2402_rbf","0.0469(0.0505)","0.0345(0.0217)","0.0323(0.0156)","0.0566(0.024)","0.0461(0.0088)","0.0459(0.0103)"
"2402_lkflag","0.0186(0.0121)","0.0241(0.0145)","0.0221(0.01)","0.0367(0.0152)","0.0348(0.0069)","0.0364(0.0065)"
"2501_rbf","0.0353(0.041)","0.0701(0.0541)","0.0743(0.0798)","0.0754(0.025)","0.0789(0.0287)","0.0701(0.0226)"
"2501_lkflag","0.0214(0.0363)","0.0333(0.0398)","0.0528(0.0715)","0.058(0.0264)","0.0504(0.017)","0.0483(0.0172)"
"2502_rbf","0.0225(0.0572)","0.0313(0.0323)","0.0667(0.1278)","0.0455(0.0366)","0.0516(0.0158)","0.0528(0.0173)"
"2502_lkflag","0.0156(0.0199)","0.0461(0.0708)","0.0831(0.1339)","0.0481(0.0398)","0.056(0.019)","0.0583(0.0165)"
"2601_rbf","0.0208(0.0125)","0.0323(0.0146)","0.0293(0.0093)","0.0273(0.0044)","0.0273(0.0037)","0.0264(0.0033)"
