"","m","train mse","train sd","test mse","test sd","time"
"1",500,0.0242,0.0011,0.0834,0.0065,14.4551
"2",661,0.0283,0.0012,0.064,0.0031,15.0101
"3",873,0.0318,0.0011,0.0565,0.0012,15.7109
"4",1154,0.0343,6e-04,0.0519,5e-04,16.7155
"5",1525,0.0357,6e-04,0.0491,3e-04,17.4665
"6",2016,0.037,6e-04,0.0473,4e-04,18.6977
"7",2664,0.0382,4e-04,0.046,2e-04,19.7994
"8",3521,0.0392,4e-04,0.0451,1e-04,24.1917
"9",4654,0.0393,2e-04,0.0444,1e-04,24.4159
"10",6151,0.0399,4e-04,0.044,2e-04,33.843
"11",8129,0.0402,3e-04,0.0436,1e-04,33.018
"12",10743,0.0405,4e-04,0.0434,2e-04,42.0835
"13",14199,0.0408,2e-04,0.0431,1e-04,50.5374
"14",18765,0.0408,2e-04,0.043,1e-04,61.1752
"15",24801,0.0409,2e-04,0.0429,2e-04,79.1596
"16",32777,0.041,1e-04,0.0427,1e-04,97.6326
"17",43319,0.041,2e-04,0.0428,2e-04,124.8587
"18",57251,0.0412,2e-04,0.0427,1e-04,166.7206
"19",75665,0.0412,1e-04,0.0427,2e-04,212.3866
"20",1e+05,0.0412,1e-04,0.0426,1e-04,278.64
