"","m","train mse","train sd","test mse","test sd","time"
"1",500,0.0303,0.0038,0.092,0.008,16.0182
"2",661,0.0324,0.0022,0.0688,0.0038,16.5583
"3",873,0.0372,0.0029,0.0621,0.002,16.6889
"4",1154,0.0392,0.0041,0.0581,0.0013,15.5491
"5",1525,0.0418,0.0019,0.0552,0.0014,15.2419
"6",2016,0.0422,0.0019,0.0529,7e-04,16.4196
"7",2664,0.0433,0.0019,0.0514,5e-04,15.4286
"8",3521,0.0444,0.0017,0.0503,4e-04,17.7117
"9",4654,0.0459,0.0014,0.0495,4e-04,17.9605
"10",6151,0.0459,0.0012,0.0492,4e-04,17.1518
"11",8129,0.046,7e-04,0.0485,3e-04,17.8734
"12",10743,0.0459,0.0011,0.0485,3e-04,19.5375
"13",14199,0.0467,0.001,0.048,3e-04,17.2746
"14",18765,0.0467,8e-04,0.0479,3e-04,17.9248
"15",24801,0.0472,7e-04,0.0478,4e-04,20.0932
"16",32777,0.047,6e-04,0.0478,3e-04,20.2728
"17",43319,0.0472,5e-04,0.0476,2e-04,22.5196
"18",57251,0.0473,6e-04,0.0476,4e-04,26.0972
"19",75665,0.0472,4e-04,0.0474,2e-04,29.5636
"20",1e+05,0.0473,4e-04,0.0475,4e-04,31.4629
